Fan_ID,edad,sexo,localidad,canal,visitas_app,Frecuencia_Visitas_Web,tiempo_medio_sesion_min,rebote_pct,Interacciones_RRSS,uso_newsletter,clickrate_newsletter,Compras_Ecommerce,Gasto_Total_€,frecuencia_compra_mensual,categoria_fav,conversion_entrada,conversion_merch,conversion_abono,clicks_banner,antiguedad_anios,Miembro_Programa_Fidelidad,uso_app_oficial,participacion_eventos,Nivel_Fan,Fan_Score
1,54,Hombre,España,B2C,7,6,1.6,0.57,17,0,0.18,1,73.73,0.95,Merchandising,0,1,0,13,6,0,0,2,Fiel Tradicional,0.2291074461775419
2,67,Mujer,Andalucía,B2C,5,7,3.7,0.72,20,1,0.74,3,66.65,0.19,Abonos,0,0,0,15,4,0,0,0,Corporativo,0.3062792867767389
3,44,Hombre,España,B2B,4,9,3.6,0.42,24,1,0.25,0,109.16,0.72,Digital,0,0,0,4,13,0,0,0,Fiel Tradicional,0.3358275031492826
4,30,Hombre,Sevilla,B2B,6,16,4.9,0.52,22,1,0.45,0,137.8,2.56,Abonos,0,0,0,9,14,0,0,1,Corporativo,0.4266405511684693
5,58,Mujer,Sevilla,B2C,8,10,4.1,0.23,28,0,0.39,2,45.87,0.66,Merchandising,0,0,0,16,7,1,0,1,Joven Digital,0.5550042801262405
6,23,Mujer,Sevilla,B2C,4,12,4.9,0.66,23,1,0.98,5,87.74,2.2,Entradas,0,0,0,12,8,1,0,3,Fiel Tradicional,0.6587972897019231
7,36,Hombre,Sevilla,B2C,3,12,5.1,0.78,16,1,0.39,1,42.41,1.07,Entradas,0,0,0,15,4,0,0,1,Joven Digital,0.2469740749596571
8,54,Mujer,Andalucía,B2C,2,14,7.2,0.29,26,1,0.08,1,90.05,0.26,Entradas,0,1,0,8,7,0,0,2,Internacional Ocasional,0.4075757458132912
9,34,Hombre,Sevilla,B2C,3,7,3.5,0.45,28,1,0.09,2,51.65,1.04,Digital,0,0,0,3,12,1,0,2,Joven Digital,0.5302457941419718
10,38,Mujer,Andalucía,B2C,9,10,2.6,0.16,20,0,0.59,2,111.35,0.85,Merchandising,0,0,1,15,0,0,0,3,Fiel Tradicional,0.3656047088634324
11,26,Hombre,Internacional,B2C,5,7,4.4,0.49,24,1,0.6,1,72.0,0.61,Abonos,0,1,0,10,0,0,0,1,Joven Digital,0.2959256769275836
12,26,Mujer,Sevilla,B2C,4,13,2.8,0.45,29,1,0.42,0,76.39,0.15,Abonos,0,0,0,6,6,0,0,1,Fiel Tradicional,0.3809304849533119
13,39,Hombre,Andalucía,B2C,7,9,6.2,0.2,22,0,0.43,3,123.93,0.65,Abonos,0,0,0,16,14,0,0,0,Corporativo,0.4115895933414277
14,68,Hombre,España,B2C,8,16,3.6,0.41,14,1,0.05,1,53.01,0.09,Abonos,0,0,0,12,5,0,0,2,Internacional Ocasional,0.2849207840238983
15,51,Hombre,Sevilla,B2C,4,9,3.2,0.33,15,0,0.52,1,95.55,0.12,Digital,0,0,0,3,4,1,0,0,Joven Digital,0.4697675586097818
16,55,Mujer,Andalucía,B2C,4,12,3.3,0.47,18,1,0.5,1,56.0,0.65,Digital,0,0,0,13,13,1,0,3,Internacional Ocasional,0.4796770859534227
17,39,Hombre,España,B2B,8,11,5.1,0.51,22,0,0.15,2,110.89,0.44,Merchandising,0,0,0,9,14,0,0,1,Joven Digital,0.3922548864343288
18,18,Hombre,Internacional,B2C,5,10,3.8,0.11,20,1,0.1,2,128.6,3.12,Abonos,1,1,0,9,4,0,1,0,Fiel Tradicional,0.3859598920600812
19,37,Mujer,Sevilla,B2C,5,9,3.0,0.63,21,1,0.12,2,67.11,0.57,Entradas,1,1,0,9,13,0,1,3,Joven Digital,0.3112080565742635
20,68,Mujer,Internacional,B2C,6,12,6.5,0.6,21,1,0.1,0,9.18,1.7,Digital,0,0,0,11,8,0,1,3,Internacional Ocasional,0.2244289887205476
21,17,Hombre,Andalucía,B2C,7,9,2.7,0.36,18,1,0.61,3,54.36,0.91,Merchandising,0,0,0,1,0,0,0,2,Joven Digital,0.2961629211680449
22,39,Hombre,Sevilla,B2B,2,7,4.1,0.14,19,1,0.2,4,147.98,1.46,Merchandising,0,0,0,8,7,0,0,0,Internacional Ocasional,0.4189162171757791
23,59,Mujer,Andalucía,B2C,1,15,5.0,0.63,22,0,0.25,1,57.24,0.36,Digital,1,0,0,4,1,0,1,0,Internacional Ocasional,0.3460525798240956
24,45,Mujer,Internacional,B2C,7,14,1.6,0.77,22,1,0.17,5,128.13,3.41,Entradas,0,0,0,7,6,0,0,1,Fiel Tradicional,0.5191772168931976
25,53,Mujer,Andalucía,B2C,5,17,4.7,0.27,17,1,0.96,2,56.81,0.91,Entradas,1,0,0,13,5,0,1,2,Corporativo,0.3499311401697352
26,17,Mujer,Sevilla,B2B,4,8,2.4,0.33,23,1,0.85,1,56.07,2.14,Abonos,0,0,0,6,9,1,0,1,Corporativo,0.4793210902056013
27,36,Mujer,Andalucía,B2B,4,10,5.2,0.23,18,0,0.23,3,98.38,0.55,Digital,0,1,0,6,1,0,0,2,Joven Digital,0.358633304454126
28,48,Hombre,Sevilla,B2C,3,7,2.6,0.5,25,1,0.33,2,94.78,0.13,Entradas,0,0,0,8,11,1,1,0,Internacional Ocasional,0.5561396521866943
29,27,Mujer,Sevilla,B2C,8,8,5.0,0.21,31,1,0.21,1,100.57,1.34,Digital,0,1,0,2,12,0,0,4,Fiel Tradicional,0.3984982294665213
30,37,Hombre,Sevilla,B2C,7,6,5.7,0.35,17,1,0.49,2,75.15,0.01,Merchandising,0,1,0,13,2,0,0,2,Corporativo,0.2557830612580776
31,59,Hombre,Sevilla,B2B,1,8,5.3,0.59,26,0,0.02,1,106.03,0.77,Merchandising,0,0,0,16,3,0,0,3,Fiel Tradicional,0.3632744207855765
